Ch0: 0.52, test passed
Ch1: 0.54, test passed
Ch2: 0.58, test passed
Ch3: 0.62, test passed
Ch4: 0.64, test passed
Ch5: 0.65, test passed
Ch6: 0.66, test passed
Ch7: 0.63, test passed
Ch8: 0.60, test passed
Ch9: 0.57, test passed
Ch10: 0.55, test passed
Ch11: 0.51, test passed
Ch12: 0.51, test passed
Ch13: 0.52, test passed
Ch14: 0.56, test passed
Ch15: 0.59, test passed
Ch16: 0.62, test passed
Ch17: 0.66, test passed
Ch18: 0.66, test passed
Ch19: 0.65, test passed
Ch20: 0.59, test passed
Ch21: 0.56, test passed
Ch22: 0.50, test passed
Ch23: 0.55, test passed
Ch24: 0.58, test passed
Ch25: 0.61, test passed
Ch26: 0.63, test passed
Ch27: 0.61, test passed
Ch28: 0.60, test passed
Ch29: 0.57, test passed
Ch30: 0.53, test passed
Ch31: 0.51, test passed
Ch32: 0.49, test passed
Ch33: 0.49, test passed
Ch34: 0.51, test passed
Ch35: 0.54, test passed
Ch36: 0.58, test passed
Ch37: 0.60, test passed
Ch38: 0.61, test passed
Ch39: 0.61, test passed
